文献番号,著者・編者,著者・編者ふりがな,発行年1,発行年2,論文名,雑誌名・報告書名
B120620,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2001,f,,千葉県文化財センター年報No.26-平成12年度－
B120621,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2001,g,,新東京国際空港埋蔵文化財発掘調査報告書ⅩⅤ 千葉県文化財センター調査報告第405集
B120622,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2001,h,,新東京国際空港埋蔵文化財発掘調査報告書ⅩⅥ 千葉県文化財センター調査報告第406集
B120623,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2002,a,,新東京国際空港埋蔵文化財発掘調査報告書ⅩⅦ　－香山新田安戸台遺跡（空港No.9遺跡）　取香和田戸遺跡（空港No.60遺跡）－ 千葉県文化財センター調査報告第431集
B120624,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2002,b,,東関東自動車道（千葉・富津線）埋蔵文化財調査報告書10　－袖ケ浦市台山遺跡－ 千葉県文化財センター調査報告第435集
B120625,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2002,c,,千葉市鷲谷津遺跡　－都市基盤整備公団千葉寺地区埋蔵文化財発掘調査報告書Ⅲ－ 千葉県文化財センター調査報告第422集
B120626,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2002,d,,東関東自動車道（千葉・富津線）埋蔵文化財調査報告書11　－木更津市中越遺跡－ 千葉県文化財センター調査報告第436集
B120627,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2002,e,,千葉ニュータウン埋蔵文化財調査報告書ⅩⅤ 千葉県文化財センター調査報告第423集
B120628,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2002,f,,成田市十余三四本木Ⅱ遺跡 千葉県文化財センター調査報告第425集
B120629,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2003,a,,千葉東南部ニュータウン27　－千葉市春日作遺跡－ 千葉県文化財センター調査報告第458集
B120630,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2003,b,,千原台ニュータウンⅩ　－市原市草刈遺跡（東部地区旧石器時代）－ 千葉県文化財センター調査報告第462集
B120631,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2003,c,,潤井戸地区埋蔵文化財調査報告書Ⅰ　－市原市下鈴野遺跡－ 千葉県文化財センター調査報告第444集
B120632,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2003,d,,千葉東南部ニュータウン26　－千葉市椎名神社遺跡・古城小弓遺跡・六通神社南遺跡・御塚台遺跡－ 千葉県文化財センター調査報告第443集
B120633,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2003,e,,東関東自動車道（千葉・富津線）埋蔵文化財調査報告書12　－木更津市山神遺跡・堀ノ内台遺跡（２）－  千葉県文化財センター調査報告第456集
B120634,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2003,f,,千葉東金道路（二期）埋蔵文化財調査報告書12　－松尾町赤羽根遺跡－ 千葉県文化財センター調査報告第440集
B120635,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2003,g,,野田市鳥居崎遺跡－清水上花輪線埋蔵文化財調査報告書－ 千葉県文化財センター調査報告第446集
B120636,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2003,h,,新鎌ヶ谷地区埋蔵文化財調査報告書Ⅰ－鎌ヶ谷市五本松No.３遺跡－ 千葉県文化財センター調査報告第457集
B120637,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2003,i,,佐倉市羽鳥外海道遺跡 千葉県文化財センター調査報告第441集
B120638,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2003,j,,新東京国際空港埋蔵文化財発掘調査報告書ⅩⅧ 千葉県文化財センター調査報告第447集
B120639,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2003,k,,成田国際物流複合基地埋蔵文化財調査報告書2 千葉県文化財センター調査報告第452集
B120640,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2003,l,,県道千葉臼井印西線歩道建設に伴う埋蔵文化財調査報告書 千葉県文化財センター調査報告第451集
B120641,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2003,m,,松崎地区内陸工業用地造成整備事業埋蔵文化財調査報告書1 千葉県文化財センター調査報告第445集
B120642,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2004,a,,千葉東南部ニュータウン28　－千葉市今台遺跡－ 千葉県文化財センター調査報告第466集
B120643,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2004,b,,東関東自動車道（千葉・富津線）埋蔵文化財調査報告書13　－袖ケ浦市関畑遺跡－  千葉県文化財センター調査報告第484集
B120644,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2004,c,,千葉市観音塚遺跡・地蔵山遺跡（３）　－都市基盤整備公団千葉寺地区埋蔵文化財発掘調査報告書Ⅳ－ 千葉県文化財センター調査報告第472集
B120645,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2004,d,,千葉東南部ニュータウン29　－千葉市バクチ穴遺跡・大膳野南貝塚・有吉城跡２（旧石器時代）－ 千葉県文化財センター調査報告第467集
B120646,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2004,e,,主要地方道松戸野田線住宅宅地関連埋蔵文化財調査報告書（2）－流山市三輪野山貝塚・三輪野山宮前遺跡・三輪野山八幡前遺跡－ 千葉県文化財センター調査報告第482集
B120647,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2004,f,,西三里塚第2代替地埋蔵文化財調査報告書2 千葉県文化財センター調査報告第478集
B120648,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2004,g,,松崎地区内陸工業用地造成整備事業埋蔵文化財調査報告書2 千葉県文化財センター調査報告第471集
B120649,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2004,h,,千葉ニュータウン埋蔵文化財調査報告書ⅩⅥ 千葉県文化財センター調査報告第477集
B120650,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2004,i,,千葉県文化財センター年報No.28-平成14年度－
B120651,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2004,j,,新東京国際空港埋蔵文化財発掘調査報告書ⅩⅩ 千葉県文化財センター調査報告第485集
B120652,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2004,k,,新東京国際空港埋蔵文化財発掘調査報告書ⅩⅨ 千葉県文化財センター調査報告第483集
B120653,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2004,l,,印西市新井堀Ⅱ遺跡　前戸遺跡 千葉県文化財センター調査報告第481集
B120654,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2004,m,,松崎地区内陸工業用地造成整備事業埋蔵文化財調査報告書3　 千葉県文化財センター調査報告第487集
B120655,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2004,n,,主要地方道千葉竜ヶ崎線埋蔵文化財調査報告書 千葉県文化財センター調査報告第494集
B120656,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2004,o,,印西市馬込遺跡 千葉県文化財センター調査報告第495集
B120657,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2004,p,,船橋印西線埋蔵文化財調査報告書2-八千代市道地遺跡－ 千葉県文化財センター調査報告第464集
B120658,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2004,q,,船橋印西線埋蔵文化財調査報告書3-八千代市間見穴遺跡－ 千葉県文化財センター調査報告第473集
B120659,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2005,a,,新鎌ヶ谷地区埋蔵文化財調査報告書Ⅱ－鎌ヶ谷市五本松No.３遺跡2－ 千葉県文化財センター調査報告第525集
B120660,（財）千葉県文化財センタ－,ざいだんほうじんちばけんぶんかざいせんたー,2005,b,,成田国際空港埋蔵文化財調査報告書ⅩⅩⅠ 千葉県文化財センター調査報告第517集
B120661,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2005,c,,東関東自動車道水戸線酒々井PA埋蔵文化財調査報告書1 千葉県文化財センター調査報告第504集
B120662,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2005,d,,四街道市小屋ノ内遺跡（1） 千葉県文化財センター調査報告第499集
B120663,（財）千葉県文化財センター,ざいだんほうじんちばけんぶんかざいせんたー,2005,e,,千葉ニュータウン埋蔵文化財調査報告書ⅩⅦ 千葉県文化財センター調査報告第510集
B120664,（財）千葉県北総公社,ざいだんほうじんちばけんほくそうこうしゃ,1971,,,三里塚 
B120665,（財）千葉市教育振興財団,ざいだんほうじんちばしきょういくしんこうざいだん,2003,a,,千葉市後谷遺跡 
B120666,（財）千葉市教育振興財団,ざいだんほうじんちばしきょういくしんこうざいだん,2003,b,,千葉市平和公園遺跡群Ⅰ　多部田貝塚　貝殻塚遺跡　ムグリ遺跡 
B120667,（財）千葉市教育振興財団,ざいだんほうじんちばしきょういくしんこうざいだん,2004,a,,千葉市平和公園遺跡群Ⅱ　－うならすず遺跡－ 
B120668,（財）千葉市教育振興財団,ざいだんほうじんちばしきょういくしんこうざいだん,2004,b,,千葉市越川戸遺跡 
B120669,（財）千葉市教育振興財団,ざいだんほうじんちばしきょういくしんこうざいだん,2006,,,千葉市花輪貝塚－平成15年度確認調査報告－ 
B120670,（財）千葉市教育振興財団,ざいだんほうじんちばしきょういくしんこうざいだん,2007,a,,千葉市下泉町遺跡群 
B120671,（財）千葉市教育振興財団,ざいだんほうじんちばしきょういくしんこうざいだん,2007,b,,千葉市鎌取場台遺跡 
B120672,（財）千葉市教育振興財団,ざいだんほうじんちばしきょういくしんこうざいだん,2007,c,,千葉市芳賀輪遺跡 
B120673,（財）千葉市文化財調査協会,ざいだんほうじんちばしぶんかざいちょうさきょうかい,1987,,,千葉市　子和清水遺跡・房地遺跡・一枚田遺跡 
B120674,（財）千葉市文化財調査協会,ざいだんほうじんちばしぶんかざいちょうさきょうかい,1988,a,,千葉市餅ヶ崎遺跡　－昭和60年度発掘調査報告書－ 
B120675,（財）千葉市文化財調査協会,ざいだんほうじんちばしぶんかざいちょうさきょうかい,1988,b,,千葉市芳賀輪遺跡　－昭和61年度発掘調査報告書－ 
B120676,（財）千葉市文化財調査協会,ざいだんほうじんちばしぶんかざいちょうさきょうかい,1989,,,千葉市辰ヶ台・住吉・東住吉遺跡　－昭和の森遺跡群昭和60・61年度調査報告書－ 
B120677,（財）千葉市文化財調査協会,ざいだんほうじんちばしぶんかざいちょうさきょうかい,1992,a,,千葉中央ゴルフ場遺跡群発掘調査報告書　赤坂・観音地・上鹿子・中鹿子第１遺跡　（第１分冊）　　中鹿子第２遺跡　（第２分冊） 
B120678,（財）千葉市文化財調査協会,ざいだんほうじんちばしぶんかざいちょうさきょうかい,1992,b,,土気南遺跡群Ⅰ　南河原坂第１遺跡・南河原坂第２遺跡・文六第４遺跡・文六第５遺跡・大椎第２遺跡・御堂崎城跡・後沢第１遺跡・後沢第２遺跡 
B120679,（財）千葉市文化財調査協会,ざいだんほうじんちばしぶんかざいちょうさきょうかい,1992,c,,土気南遺跡群Ⅱ　弥三郎第２遺跡 
B120680,（財）千葉市文化財調査協会,ざいだんほうじんちばしぶんかざいちょうさきょうかい,1992,d,,千葉市立山城跡 
B120681,（財）千葉市文化財調査協会,ざいだんほうじんちばしぶんかざいちょうさきょうかい,1993,a,,土気南遺跡群Ⅲ　大谷城跡・坂ノ越遺跡 
B120682,（財）千葉市文化財調査協会,ざいだんほうじんちばしぶんかざいちょうさきょうかい,1993,b,,土気南遺跡群Ⅳ　弥三郎第１遺跡・文六第１遺跡・文六第２遺跡・文六第３遺跡 
B120683,（財）千葉市文化財調査協会,ざいだんほうじんちばしぶんかざいちょうさきょうかい,1994,a,,土気南遺跡群Ⅵ　内野台遺跡・大椎第１遺跡・小山遺跡・北河原坂第２遺跡 
B120684,（財）千葉市文化財調査協会,ざいだんほうじんちばしぶんかざいちょうさきょうかい,1994,b,,千葉市芳賀輪遺跡　－平成４年度調査報告書－ 
B120685,（財）千葉市文化財調査協会,ざいだんほうじんちばしぶんかざいちょうさきょうかい,1995,a,,千葉市直道遺跡 
B120686,（財）千葉市文化財調査協会,ざいだんほうじんちばしぶんかざいちょうさきょうかい,1995,b,,千葉市松ヶ丘遺跡 
B120687,（財）千葉市文化財調査協会,ざいだんほうじんちばしぶんかざいちょうさきょうかい,1996,a,,土気南遺跡群Ⅷ　清水ヶ谷遺跡・丸山遺跡・東台遺跡・文六第６遺跡・弥三郎第３遺跡・南河原坂第５遺跡・北河原坂第１遺跡・観音山・藤台遺跡・葭山遺跡・後台遺跡 
B120688,（財）千葉市文化財調査協会,ざいだんほうじんちばしぶんかざいちょうさきょうかい,1996,b,,土気南遺跡群Ⅴ　南河原坂第３遺跡 
B120689,（財）千葉市文化財調査協会,ざいだんほうじんちばしぶんかざいちょうさきょうかい,1996,c,,千葉市原町遺跡群発掘調査報告書Ⅱ　台畑遺跡 
B120690,（財）千葉市文化財調査協会,ざいだんほうじんちばしぶんかざいちょうさきょうかい,1996,d,,千葉市海老遺跡　－平成４年度調査－　 
B120691,（財）千葉市文化財調査協会,ざいだんほうじんちばしぶんかざいちょうさきょうかい,1996,e,,千葉市染谷津遺跡・大森第１遺跡 
B120692,（財）千葉市文化財調査協会,ざいだんほうじんちばしぶんかざいちょうさきょうかい,1997,a,,千葉市小中台Ａ遺跡・牛尾舛遺跡 
B120693,（財）千葉市文化財調査協会,ざいだんほうじんちばしぶんかざいちょうさきょうかい,1997,b,,千葉市高品城跡Ⅰ 
B120694,（財）千葉市文化財調査協会,ざいだんほうじんちばしぶんかざいちょうさきょうかい,1998,,,千葉市戸張作遺跡Ⅰ 
B120695,（財）千葉市文化財調査協会,ざいだんほうじんちばしぶんかざいちょうさきょうかい,1999,,,千葉市戸張作遺跡Ⅱ 
B120696,（財）千葉市文化財調査協会,ざいだんほうじんちばしぶんかざいちょうさきょうかい,2000,a,,千葉市愛生遺跡 
B120697,（財）千葉市文化財調査協会,ざいだんほうじんちばしぶんかざいちょうさきょうかい,2000,b,,千葉市遠坪遺跡 
B120698,（財）千葉市文化財調査協会,ざいだんほうじんちばしぶんかざいちょうさきょうかい,2001,,,千葉市内野第１遺跡発掘調査報告書 
B120699,（財）千葉市文化財調査協会,ざいだんほうじんちばしぶんかざいちょうさきょうかい,2002,a,,千葉市土気東遺跡群Ⅰ　－奥房台遺跡・五十石西遺跡－ 
B120700,（財）千葉市文化財調査協会,ざいだんほうじんちばしぶんかざいちょうさきょうかい,2002,b,,－千葉市－　川崎遺跡　草刈場遺跡　味噌草野遺跡 
B120701,（財）長生郡市文化財センター,ざいだんほうじんちょうせいぐんしぶんかざいせんたー,1990,,,千葉県茂原市　桂遺跡群発掘報告書 (財）長生郡市文化財センター調査報告　第8集
B120702,（財）長生郡市文化財センター,ざいだんほうじんちょうせいぐんしぶんかざいせんたー,1993,,,千葉県長生郡長柄町　下久保遺跡 (財）長生郡市文化財センター調査報告　第19集
B120703,（財）長生郡市文化財センター,ざいだんほうじんちょうせいぐんしぶんかざいせんたー,1997,a,,千葉県長生郡長柄町　『サウザンドリーブスゴルフクラブ建設に伴う埋蔵文化財調査』報告書　－美佐子台遺跡・倉沢台第Ⅱ遺跡・美佐子遺跡・亀ヶ谷遺跡・落井遺跡・上落井遺跡－ (財）長生郡市文化財センター調査報告
B120704,（財）長生郡市文化財センター,ざいだんほうじんちょうせいぐんしぶんかざいせんたー,1997,b,,千葉県夷隅郡大多喜町　土島田遺跡 (財）長生郡市文化財センター調査報告　第35集
B120705,（財）東総文化財センター,ざいだんほうじんとうそうぶんかざいせんたー,1994,,,千葉県銚子市新農遺跡 財団法人東総文化財センター発掘調査報告書第4集
B120706,（財）東総文化財センター,ざいだんほうじんとうそうぶんかざいせんたー,1995,,,千葉県八日市場市　生尾遺跡 財団法人東総文化財センター発掘調査報告書第7集
B120707,（財）東総文化財センター,ざいだんほうじんとうそうぶんかざいせんたー,1998,,,千葉県八日市場市　新城跡－天神山公園埋蔵文化財調査 財団法人東総文化財センター発掘調査報告書第16集
B120708,（財）東総文化財センター,ざいだんほうじんとうそうぶんかざいせんたー,2000,a,,夏台遺跡－ひかり工業団地埋蔵文化財調査－ 財団法人東総文化財センター発掘調査報告書第20集
B120709,（財）東総文化財センター,ざいだんほうじんとうそうぶんかざいせんたー,2000,b,,篠本城跡・城山遺跡－ひかり工業団地内埋蔵文化財発掘調査報告書２－ 財団法人東総文化財センター発掘調査報告書第21集
B120710,（財）東総文化財センター,ざいだんほうじんとうそうぶんかざいせんたー,2002,a,,神山谷遺跡（１）ーひかり工業団地内埋蔵文化財発掘調査報告書Ⅲ－ 財団法人東総文化財センター発掘調査報告書第25集
B120711,（財）東総文化財センター,ざいだんほうじんとうそうぶんかざいせんたー,2002,b,,新台遺跡－ひかり工業団地内埋蔵文化財発掘調査報告書－ 財団法人東総文化財センター発掘調査報告書第27集
B120712,（財）東総文化財センター,ざいだんほうじんとうそうぶんかざいせんたー,2006,,,千葉県旭市　岩井安町南遺跡　岩井安町東遺跡　岩井新田遺跡　岩井番匠山遺跡　－主要地方道銚子海上線道路改良工事に伴う埋蔵文化財調査－ 財団法人東総文化財センター発掘調査報告書第31集
B120713,（財）船橋市文化・スポーツ公社埋蔵文化財センター,ざいだんほうじんふなばししぶんか・すぽーつこうしゃまいぞうぶんかざいせんたー,1996,,,千葉県船橋市　中票遺跡－第1次・2次発掘調査報告書－ 埋蔵文化財センター調査報告第1集
B120714,（財）船橋市文化・スポーツ公社埋蔵文化財センター,ざいだんほうじんふなばししぶんか・すぽーつこうしゃまいぞうぶんかざいせんたー,1997,,,千葉県船橋市　印内台遺跡群(19） 埋蔵文化財センター調査報告第4集
B120715,（財）船橋市文化・スポーツ公社埋蔵文化財センター,ざいだんほうじんふなばししぶんか・すぽーつこうしゃまいぞうぶんかざいせんたー,1998,a,,千葉県船橋市　東中山台遺跡群(10） 埋蔵文化財センター調査報告第6集
B120716,（財）船橋市文化・スポーツ公社埋蔵文化財センター,ざいだんほうじんふなばししぶんか・すぽーつこうしゃまいぞうぶんかざいせんたー,1998,b,,千葉県船橋市　印内台遺跡群(21） 埋蔵文化財センター調査報告第5集
B120717,（財）船橋市文化・スポーツ公社埋蔵文化財センター,ざいだんほうじんふなばししぶんか・すぽーつこうしゃまいぞうぶんかざいせんたー,1999,,,千葉県船橋市　台畑遺跡(2） 埋蔵文化財センター調査報告第10集
B120718,（財）船橋市文化・スポーツ公社埋蔵文化財センター,ざいだんほうじんふなばししぶんか・すぽーつこうしゃまいぞうぶんかざいせんたー,2000,a,,千葉県船橋市　東中山台遺跡群(11） 埋蔵文化財センター調査報告第13集
B120719,（財）船橋市文化・スポーツ公社埋蔵文化財センター,ざいだんほうじんふなばししぶんか・すぽーつこうしゃまいぞうぶんかざいせんたー,2000,b,,千葉県船橋市　夏見台遺跡(20） 埋蔵文化財センター調査報告第15集
B120720,（財）船橋市文化・スポーツ公社埋蔵文化財センター,ざいだんほうじんふなばししぶんか・すぽーつこうしゃまいぞうぶんかざいせんたー,2001,a,,千葉県船橋市　向遺跡 埋蔵文化財センター調査報告第19集
B120721,（財）船橋市文化・スポーツ公社埋蔵文化財センター,ざいだんほうじんふなばししぶんか・すぽーつこうしゃまいぞうぶんかざいせんたー,2001,b,,千葉県船橋市　印内台遺跡群(20） 埋蔵文化財センター調査報告第20集
B120722,佐倉市教育委員会,さくらしきょういくいいんかい,1973,,,遺跡分布調査報告書2　佐倉市上勝田・瓜坪新田・米田・上別所地区 
B120723,佐倉市教育委員会,さくらしきょういくいいんかい,1998,,,大崎台遺跡発掘調査報告Ⅴ 
B120724,佐倉市教育委員会,さくらしきょういくいいんかい,2004,,,千葉県佐倉市　上志津干場遺跡－不特定遺跡発掘調査－ 
B120725,佐倉市遺跡調査会,さくらしいせきちょうさかい,1974,,,飯重 
B120726,佐倉市遺跡調査会,さくらしいせきちょうさかい,1983,,,佐倉市吉見台遺跡発掘調査概報Ⅱ 
B120727,寒風台遺跡発掘調査団,さむかぜだいいせきはっくつちょうさだん,1983,,,寒風台 
B120728,沢之台遺跡発掘調査団,さわのだいいせきはっくつちょうさだん,1980,,,沢之台遺跡発掘調査報告書 
B120729,山武考古学研究所,さんぶこうこがくけんきゅうじょ,1982,,,千葉県柏市　牛頭遺跡　調査報告書 
B120730,山武町教育委員会,さんぶまちきょういくいいんかい,1993,,,平成４年度　山武町内遺跡発掘調査報告書　木戸Ⅱ遺跡　木戸前遺跡　京増台Ⅰ遺跡 
B120731,獅子穴Ⅵ遺跡発掘調査団,ししあなよんいせきはっくつちょうさだん,1977,,,獅子穴Ⅵ遺跡発掘調査報告書 
B120732,酒々井町町史編さん委員会,しすいまちちょうしへんさんいいんかい,1979,,,酒々井町の歴史 
B120733,篠原正,しのはらただし,1981,,成井遺跡出土の隆起線紋土器,舌状台地創刊号 
B120734,篠原正,しのはらただし,2000,,65成井（原山向）遺跡,千葉県の歴史資料編考古１（旧石器・縄文時代） 
B120735,芝山町高田権現遺跡調査会ほか,しばやままちたかだごんげにせきちょうさかいほか,1979,,,成田用水　水資源開発公団成田用水関係埋蔵文化財発掘調査報告書 
B120736,島立桂,しまだてかつら,1998,,西上総地方における槍先形尖頭器について,（財）君津郡市文化財センター研究紀要Ⅷ 
B120737,清水台No.1遺跡発掘調査会,しみずだいなんばーいちいせきはっくつちょうさかい,1980,,,清水台　－千葉県山武郡芝山町清水台No.1遺跡発掘調査報告書－ 
B120738,清水谷古墳発掘調査団,しみずやつこふんちょうさだん,1975,,,千葉県木更津市　清水谷遺跡　－縄文時代早期・弥生時代中期・古墳時代－ 
B120739,下総町遺跡調査会,しもうさまちいせきちょうさかい,1988,,,菊水城址主郭部 
B120740,下総町教育委員会,しもうさまちきょういくいいんかい,1992,,,下総町内遺跡発掘調査報告 
B120741,下総町教育委員会,しもうさまちきょういくいいんかい,1997,,,下総町内遺跡群発掘調査報告書 
B120742,下津谷達男,しもつやたつお,1967,,,夏見台　古墳時代集落址・工房址の発掘調査 
B120743,沼南町教育委員会,しょうなんまちきょういくいいんかい,1984,,,天神向原遺跡　大井東部地区遺跡群第2次調査概報 沼南町埋蔵文化財小報第2集
B120744,沼南町教育委員会,しょうなんまちきょういくいいんかい,1990,,,大井東部地区遺跡群－大井東部土地区画整理事業に伴う埋蔵文化財発掘調査報告書 沼南町埋蔵文化財報告第3集
B120745,沼南町教育委員会,しょうなんまちきょういくいいんかい,1999,,,平成10年度沼南町内遺跡発掘調査報告書15 
B120746,沼南町教育委員会,しょうなんまちきょういくいいんかい,2000,,,平成11年度沼南町内遺跡発掘調査報告書16 
B120747,沼南町教育委員会,しょうなんまちきょういくいいんかい,2001,,,平成12年度沼南町内遺跡発掘調査報告書17 
B120748,沼南町教育委員会,しょうなんまちきょういくいいんかい,2002,,,平成13年度沼南町内遺跡発掘調査報告書18 
B120749,杉原荘介,すぎはらそうすけ,1976,,,加曽利南貝塚 
B120750,杉原荘介,すぎはらそうすけ,1977,,,加曽利北貝塚 
B120751,杉原荘介・大塚初重,すぎはらそうすけ・おおつかはつしげ,1955,,常総台地における関東ローム層中の石器文化－市川市丸山遺跡について－,駿台史学　第5号 
B120752,鈴木道之助,すずきみちのすけ,1972,,千葉県印旛郡白井町発見の有舌尖頭器,ふさ　第2号 
B120753,墨田区教育委員会,すみだくきょういくいいんかい,1984,,,千葉県富津市　東天王台遺跡 
B120754,袖ケ浦市教育委員会,そでがうらしきょういくいいんかい,1994,,,平成５年度　袖ケ浦市内遺跡発掘調査報告書　清水沢遺跡　向山野Ｂ遺跡　上笠上谷遺跡 
B120755,袖ケ浦市教育委員会,そでがうらしきょういくいいんかい,1997,,,平成８年度　袖ケ浦市内遺跡発掘調査報告書　稲荷台遺跡（１）・（２）・神納三俣台遺跡・寒沢遺跡（２）・山谷遺跡（２）・谷ノ台遺跡（４）・蔵波六山遺跡 
B120756,袖ケ浦市教育委員会,そでがうらしきょういくいいんかい,1998,a,,－千葉県袖ケ浦市－　山王台遺跡・下向山遺跡　－平成９年度袖ケ浦市不特定遺跡調査報告書－ 
B120757,袖ケ浦市教育委員会,そでがうらしきょういくいいんかい,1998,b,,平成９年度　袖ケ浦市内遺跡発掘調査報告書　根形台遺跡群ⅩⅤ地点・横田小路遺跡・谷ノ台遺跡（５）・川原井八幡下遺跡・八幡台遺跡・大塚台遺跡・大窪遺跡・宮ノ後遺跡 
B120758,袖ケ浦市教育委員会,そでがうらしきょういくいいんかい,2001,,,平成12年度　千葉県袖ケ浦市　市内遺跡発掘調査報告書Ⅱ　根形台遺跡群Ⅰ 
B120759,袖ケ浦市教育委員会,そでがうらしきょういくいいんかい,2007,,,平成18年度　千葉県　袖ケ浦市内遺跡発掘調査報告書　天神A遺跡　中六遺跡（９）　上泉遺跡群　谷ノ台遺跡（８） 
B120760,袖ケ浦町教育委員会/鼻欠遺跡調査会,そでがうらまちきょういくいいんかい/はなかけいせきちょうさかい,1984,,,鼻欠遺跡　－千葉県袖ケ浦町立昭和中学校建設に伴う発掘調査－ 
B120761,大栄町教育委員会,たいえいまちきょういくいいんかい,1985,,,千葉県香取郡大栄町遺跡分布調査報告書 
B120762,武田修,たけだおさむ,1984,,,天神山遺跡発掘調査報告書 
B120763,多古町遺跡調査会,たこまちいせきちょうさかい,1986,,,大原遺跡 
B120764,田村隆,たむらたかし,2003,,林小原子台再訪－東部関東における長者久保－神子柴石器群－,考古学Ⅰ 
B120765,千葉県柏市布施・守谷・流山線調査会,ちばけんかしわし・ふせ・もりや・ながれやませんちょうさかい,1980,,,千葉県柏市布施　守谷・流山線調査報告書 
B120766,千葉県教育委員会,ちばけんきょういくいいんかい,1987,,,栄町埴生郡衙跡確認調査報告書Ⅱ 
B120767,千葉市遺跡調査会,ちばしいせきちょうさかい,1985,,,千葉県千葉市　エゴタ遺跡　－北地区－　調査報告 
B120768,千葉市教育委員会,ちばしきょういくいいんかい,1980,,,千葉市源町餅ヶ崎遺跡発掘調査予報　－1979年度遺構確認調査概要－ 
B120769,千葉市教育委員会,ちばしきょういくいいんかい,1990,,,埋蔵文化財調査（原町遺跡群）報告書　－昭和63・平成元年度－ 
B120770,千葉市教育委員会,ちばしきょういくいいんかい,1994,,,埋蔵文化財調査（市内遺跡）報告書　－平成５年度－ 
B120771,千葉市教育委員会,ちばしきょういくいいんかい,1996,,,埋蔵文化財調査（市内遺跡）報告書　－平成７年度－ 
B120772,千葉市教育委員会,ちばしきょういくいいんかい,1999,,,埋蔵文化財調査（市内遺跡）報告書　－平成10年度－ 
B120773,千葉市教育委員会,ちばしきょういくいいんかい,2003,,,千葉市都町山王遺跡・居寒台遺跡 
B120774,千葉市史編纂委員会,ちばししへんさんいいんかい,1974,,,千葉市史　第１巻　原始・古代・中世編 
B120775,千葉市史編纂委員会,ちばししへんさんいいんかい,1976,,,千葉市史　資料編１　原始・古代・中世 
B120776,千葉大学文学部考古学研究室,ちばだいがくぶんがくぶこうこがくけんきゅうしつ,1996,,,立木南遺跡 
B120777,銚子市教育委員会,ちょうししきょういくいいんかい,1991,,,千葉県銚子市粟島台遺跡発掘調査報告書 
B120778,道庭遺跡調査会,どうにわいせきちょうさかい,1983,,,道庭遺跡 
